#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
6	-0.00585938	[-0.303955:0]	[11:2000000]
6	0.0651855	[-0.303955:0]	[11:2000000]
6	0.0297852	[-0.303955:0]	[11:2000000]
6	0.120361	[-0.303955:0]	[11:2000000]
6	0.0959473	[-0.303955:0]	[11:2000000]
6	0.0935059	[-0.303955:0]	[11:2000000]
6	0.0617676	[-0.303955:0]	[11:2000000]
6	0.0478516	[-0.303955:0]	[11:2000000]
6	0.0373535	[-0.303955:0]	[11:2000000]
6	0.150879	[-0.303955:0]	[11:2000000]
6	0.0827637	[-0.303955:0]	[11:2000000]
6	0.0722656	[-0.303955:0]	[11:2000000]
6	0.0444336	[-0.303955:0]	[11:2000000]
6	0.041748	[-0.303955:0]	[11:2000000]
6	0.0627441	[-0.303955:0]	[11:2000000]
6	0.108398	[-0.303955:0]	[11:2000000]
6	0.104492	[-0.303955:0]	[11:2000000]
6	0.0622559	[-0.303955:0]	[11:2000000]
6	0.0456543	[-0.303955:0]	[11:2000000]
6	0.0644531	[-0.303955:0]	[11:2000000]
6	0.0666504	[-0.303955:0]	[11:2000000]
6	0.105469	[-0.303955:0]	[11:2000000]
6	0.101318	[-0.303955:0]	[11:2000000]
6	0.0703125	[-0.303955:0]	[11:2000000]
6	0.0585938	[-0.303955:0]	[11:2000000]
6	0.0588379	[-0.303955:0]	[11:2000000]
6	0.0917969	[-0.303955:0]	[11:2000000]
6	0.121338	[-0.303955:0]	[11:2000000]
6	0.081543	[-0.303955:0]	[11:2000000]
6	0.067627	[-0.303955:0]	[11:2000000]
6	0.0561523	[-0.303955:0]	[11:2000000]
6	0.0690918	[-0.303955:0]	[11:2000000]
6	0.0996094	[-0.303955:0]	[11:2000000]
6	0.103027	[-0.303955:0]	[11:2000000]
6	0.083252	[-0.303955:0]	[11:2000000]
6	0.0578613	[-0.303955:0]	[11:2000000]
6	0.0769043	[-0.303955:0]	[11:2000000]
6	0.0861816	[-0.303955:0]	[11:2000000]
6	0.121826	[-0.303955:0]	[11:2000000]
6	0.0788574	[-0.303955:0]	[11:2000000]
6	0.0812988	[-0.303955:0]	[11:2000000]
6	0.0595703	[-0.303955:0]	[11:2000000]
6	0.0515137	[-0.303955:0]	[11:2000000]
6	0.130371	[-0.303955:0]	[11:2000000]
6	0.0732422	[-0.303955:0]	[11:2000000]
6	0.0939941	[-0.303955:0]	[11:2000000]
6	0.0825195	[-0.303955:0]	[11:2000000]
6	0.0410156	[-0.303955:0]	[11:2000000]
6	0.0925293	[-0.303955:0]	[11:2000000]
6	0.0898438	[-0.303955:0]	[11:2000000]
result : FORWARD:)

